iShares Russell 1000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,13-Apr-26,,,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,,,,
Shares Outstanding,"119,200,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SNPS,SYNOPSYS INC,Information Technology,Equity,"56,523,445.46",0.13,"56,523,445.46","135,298.00",417.77,United States,NASDAQ,USD,1,USD,-
CSX,CSX CORP,Industrials,Equity,"56,360,777.55",0.13,"56,360,777.55","1,330,833.00",42.35,United States,NASDAQ,USD,1,USD,-
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"56,053,650.52",0.13,"56,053,650.52","596,252.00",94.01,United States,NASDAQ,USD,1,USD,1-Jan-70
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"55,845,074.64",0.12,"55,845,074.64","285,828.00",195.38,United States,NASDAQ,USD,1,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"55,765,547.20",0.12,"55,765,547.20","193,496.00",288.2,United States,NASDAQ,USD,1,USD,-
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"55,741,362.75",0.12,"55,741,362.75","475,325.00",117.27,United States,NYSE,USD,1,USD,-
SLB,SLB NV,Energy,Equity,"55,217,958.40",0.12,"55,217,958.40","1,063,520.00",51.92,United States,NYSE,USD,1,USD,-
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"55,087,543.90",0.12,"55,087,543.90","109,279.00",504.1,Sweden,NYSE,USD,1,USD,-
SHW,SHERWIN WILLIAMS,Materials,Equity,"54,840,995.04",0.12,"54,840,995.04","164,008.00",334.38,United States,NYSE,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"54,523,400.43",0.12,"54,523,400.43","54,523,400.00",1,United States,-,USD,1,USD,-
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"53,864,553.60",0.12,"53,864,553.60","72,160.00",746.46,United States,NASDAQ,USD,1,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"53,183,128.02",0.12,"53,183,128.02","521,301.00",102.02,United States,NYSE,USD,1,USD,-
EOG,EOG RESOURCES INC,Energy,Equity,"53,104,048.64",0.12,"53,104,048.64","387,734.00",136.96,United States,NYSE,USD,1,USD,-
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"52,917,939.20",0.12,"52,917,939.20","917,440.00",57.68,United States,NASDAQ,USD,1,USD,-
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"52,820,418.52",0.12,"52,820,418.52","161,402.00",327.26,United States,NYSE,USD,1,USD,-
VLO,VALERO ENERGY CORP,Energy,Equity,"52,087,143.20",0.12,"52,087,143.20","215,165.00",242.08,United States,NYSE,USD,1,USD,-
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"51,992,962.90",0.12,"51,992,962.90","118,190.00",439.91,United States,NYSE,USD,1,USD,-
CI,CIGNA,Health Care,Equity,"51,432,583.52",0.11,"51,432,583.52","186,946.00",275.12,United States,NYSE,USD,1,USD,-
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"50,972,306.94",0.11,"50,972,306.94","379,089.00",134.46,United States,NASDAQ,USD,1,USD,-
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"50,665,766.05",0.11,"50,665,766.05","179,405.00",282.41,United States,NYSE,USD,1,USD,-
ROST,ROSS STORES INC,Consumer Discretionary,Equity,"49,806,990.90",0.11,"49,806,990.90","225,422.00",220.95,United States,NASDAQ,USD,1,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"49,762,692.94",0.11,"49,762,692.94","157,442.00",316.07,United States,NYSE,USD,1,USD,-
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"49,230,205.44",0.11,"49,230,205.44","640,768.00",76.83,United States,NYSE,USD,1,USD,-
ECL,ECOLAB INC,Materials,Equity,"48,625,363.20",0.11,"48,625,363.20","176,691.00",275.2,United States,NYSE,USD,1,USD,-
AON,AON PLC CLASS A,Financials,Equity,"48,417,242.20",0.11,"48,417,242.20","148,793.00",325.4,United States,NYSE,USD,1,USD,-
MCO,MOODYS CORP,Financials,Equity,"48,409,853.20",0.11,"48,409,853.20","110,120.00",439.61,United States,NYSE,USD,1,USD,-
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"48,320,648.46",0.11,"48,320,648.46","39,186.00","1,233.11",United States,NYSE,USD,1,USD,-
CIEN,CIENA CORP,Information Technology,Equity,"48,041,829.20",0.11,"48,041,829.20","100,108.00",479.9,United States,NYSE,USD,1,USD,-
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"48,007,046.10",0.11,"48,007,046.10","213,090.00",225.29,United States,NYSE,USD,1,USD,-
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"47,854,659.32",0.11,"47,854,659.32","569,834.00",83.98,United States,NYSE,USD,1,USD,-
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"47,795,872.56",0.11,"47,795,872.56","160,626.00",297.56,United States,NYSE,USD,1,USD,-
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity,"47,565,827.80",0.11,"47,565,827.80","132,884.00",357.95,United States,NYSE,USD,1,USD,-
KKR,KKR AND CO INC,Financials,Equity,"47,239,787.14",0.11,"47,239,787.14","481,351.00",98.14,United States,NYSE,USD,1,USD,-
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"47,151,459.30",0.11,"47,151,459.30","157,882.00",298.65,United States,NYSE,USD,1,USD,-
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,"46,720,654.95",0.1,"46,720,654.95","243,527.00",191.85,United States,NYSE,USD,1,USD,-
PCAR,PACCAR INC,Industrials,Equity,"46,648,976.22",0.1,"46,648,976.22","366,219.00",127.38,United States,NASDAQ,USD,1,USD,-
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"46,335,753.11",0.1,"46,335,753.11","153,781.00",301.31,United States,NYSE,USD,1,USD,-
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"46,140,017.64",0.1,"46,140,017.64","229,884.00",200.71,United States,NYSE,USD,1,USD,-
PSX,PHILLIPS 66,Energy,Equity,"45,950,590.00",0.1,"45,950,590.00","286,475.00",160.4,United States,NYSE,USD,1,USD,-
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"45,296,568.57",0.1,"45,296,568.57","1,653,763.00",27.39,United States,NASDAQ,USD,1,USD,-
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"45,079,127.73",0.1,"45,079,127.73","32,851.00","1,372.23",United States,NASDAQ,USD,1,USD,-
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"44,770,802.37",0.1,"44,770,802.37","895,237.00",50.01,United States,NYSE,USD,1,USD,-
SRE,SEMPRA,Utilities,Equity,"44,552,276.71",0.1,"44,552,276.71","462,977.00",96.23,United States,NYSE,USD,1,USD,-
KMI,KINDER MORGAN INC,Energy,Equity,"44,211,253.02",0.1,"44,211,253.02","1,378,586.00",32.07,United States,NYSE,USD,1,USD,-
BKR,BAKER HUGHES CLASS A,Energy,Equity,"43,993,505.76",0.1,"43,993,505.76","703,221.00",62.56,United States,NASDAQ,USD,1,USD,-
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,"43,445,746.60",0.1,"43,445,746.60","49,870.00",871.18,United States,NASDAQ,USD,1,USD,-
CTAS,CINTAS CORP,Industrials,Equity,"42,820,770.24",0.1,"42,820,770.24","243,743.00",175.68,United States,NASDAQ,USD,1,USD,-
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"42,000,527.00",0.09,"42,000,527.00","221,300.00",189.79,United States,NYSE,USD,1,USD,-
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"41,593,752.45",0.09,"41,593,752.45","11,835.00","3,514.47",United States,NYSE,USD,1,USD,-
COR,CENCORA INC,Health Care,Equity,"41,408,372.96",0.09,"41,408,372.96","129,758.00",319.12,United States,NYSE,USD,1,USD,-
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"41,364,687.21",0.09,"41,364,687.21","259,161.00",159.61,United States,NASDAQ,USD,1,USD,-
O,REALTY INCOME REIT CORP,Real Estate,Equity,"41,295,151.12",0.09,"41,295,151.12","652,166.00",63.32,United States,NYSE,USD,1,USD,-
TER,TERADYNE INC,Information Technology,Equity,"41,006,332.57",0.09,"41,006,332.57","110,789.00",370.13,United States,NASDAQ,USD,1,USD,-
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,"40,831,093.68",0.09,"40,831,093.68","221,884.00",184.02,United States,NYSE,USD,1,USD,-
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,"40,475,548.62",0.09,"40,475,548.62","122,242.00",331.11,United States,NYSE,USD,1,USD,-
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"40,255,741.30",0.09,"40,255,741.30","24,730.00","1,627.81",United States,NYSE,USD,1,USD,-
CTVA,CORTEVA INC,Materials,Equity,"40,065,008.13",0.09,"40,065,008.13","479,763.00",83.51,United States,NYSE,USD,1,USD,-
AJG,ARTHUR J GALLAGHER,Financials,Equity,"40,028,862.50",0.09,"40,028,862.50","179,905.00",222.5,United States,NYSE,USD,1,USD,-
ALL,ALLSTATE CORP,Financials,Equity,"39,743,469.84",0.09,"39,743,469.84","184,776.00",215.09,United States,NYSE,USD,1,USD,-
LNG,CHENIERE ENERGY INC,Energy,Equity,"39,457,128.00",0.09,"39,457,128.00","150,830.00",261.6,United States,NYSE,USD,1,USD,-
AU,ANGLOGOLD ASHANTI PLC,Materials,Equity,"39,092,676.48",0.09,"39,092,676.48","358,254.00",109.12,South Africa,NYSE,USD,1,USD,-
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"38,584,884.96",0.09,"38,584,884.96","296,078.00",130.32,United States,NASDAQ,USD,1,USD,-
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Equity,"38,538,105.72",0.09,"38,538,105.72","537,716.00",71.67,United States,NASDAQ,USD,1,USD,-
AME,AMETEK INC,Industrials,Equity,"38,336,079.47",0.09,"38,336,079.47","163,501.00",234.47,United States,NYSE,USD,1,USD,-
COHR,COHERENT CORP,Information Technology,Equity,"38,162,996.62",0.09,"38,162,996.62","123,934.00",307.93,United States,NYSE,USD,1,USD,-
D,DOMINION ENERGY INC,Utilities,Equity,"38,150,185.59",0.09,"38,150,185.59","605,847.00",62.97,United States,NYSE,USD,1,USD,-
TGT,TARGET CORP,Consumer Staples,Equity,"38,023,254.92",0.08,"38,023,254.92","322,559.00",117.88,United States,NYSE,USD,1,USD,-
VST,VISTRA CORP,Utilities,Equity,"37,936,201.80",0.08,"37,936,201.80","239,799.00",158.2,United States,NYSE,USD,1,USD,-
OKE,ONEOK INC,Energy,Equity,"37,924,406.52",0.08,"37,924,406.52","444,444.00",85.33,United States,NYSE,USD,1,USD,-
